"Gene ID","Gene Name","Gene Description",FC(MS20/M5),Log2FC(MS20/M5),Pvalue,Padjust,Significant,Regulate,MS20_1,MS20_2,MS20_3,M5_1,M5_2,M5_3,MS20,M5
EVM0008344,,-,0.0729272894622,-3.77739741631,3.96376124956E-5,0.000703647536339,yes,down,2.31,0.89,2.09,0.87,16.13,46.78,1.76333333333,21.26
EVM0008358,,-,5.27655828363,2.3995972163,0.00645842204335,0.0380631901551,yes,up,15.71,4.35,2.09,1.45,1.26,0.81,7.38333333333,1.17333333333
EVM0008359,,-,0.347638973334,-1.52433826508,0.000903244003444,0.00856549644623,yes,down,19.22,9.44,10.14,36.43,41.66,20.23,12.9333333333,32.7733333333
EVM0008389,,-,0.0446749803731,-4.48438909432,5.00504415632E-8,2.57325369204E-6,yes,down,7.99,8.52,7.32,54.87,23.11,405.44,7.94333333333,161.14
EVM0008392,,-,0.0575733964814,-4.11845386475,0.00648551333679,0.0381336093895,yes,down,0.09,0,0.34,0.32,0.13,6.77,0.143333333333,2.40666666667
EVM0008403,,-,0.0471318161676,-4.40715491484,2.92323896008E-7,1.14396084638E-5,yes,down,0.96,1.27,0.77,1.59,35.68,19.67,1,18.98
EVM0008406,,-,0.305009390799,-1.71307443303,8.75258846744E-5,0.00133564196631,yes,down,8.41,6.67,3.44,15.1,15.44,22.69,6.17333333333,17.7433333333
EVM0008413,,-,0.117918877733,-3.08413339581,7.53451825551E-10,6.38239440557E-8,yes,down,15.54,6.97,7.26,60.53,114.47,42.93,9.92333333333,72.6433333333
EVM0008417,,-,0.480182952477,-1.05834390917,0.00600696741108,0.0361279699826,yes,down,35.53,36.82,36.9,88.16,67.66,54.95,36.4166666667,70.2566666667
EVM0008418,,-,0.3032475516,-1.72143209771,0.000141527640381,0.00197488252545,yes,down,21.48,12.56,8.37,35.29,29.88,56.25,14.1366666667,40.4733333333
EVM0008423,,-,8.6041471258,3.1050321942,1.63454373025E-5,0.000347636655673,yes,up,6.47,9.69,6.84,1.36,0.13,0.93,7.66666666667,0.806666666667
EVM0008436,,-,0.0428595846623,-4.54423832036,6.86770383812E-9,4.65154863805E-7,yes,down,1.27,0,1.02,16.1,10.18,20.91,0.763333333333,15.73
EVM0008439,,-,3.97667560304,1.99156287922,0.00150153658344,0.0126638214724,yes,up,9.33,11.74,12.47,2.69,0.83,4.29,11.18,2.60333333333
EVM0008440,,-,0.273496507969,-1.87040568223,2.16085558869E-5,0.000433895859941,yes,down,6.17,3.89,2.64,9.54,14.39,16.31,4.23333333333,13.4133333333
EVM0008443,,-,3.36736770991,1.75162126922,0.00703636306332,0.0406393498144,yes,up,6.02,8.13,8.68,2.77,0.85,2.73,7.61,2.11666666667
EVM0008444,,-,173.262653128,7.43681690397,4.8793270478E-7,1.7789844578E-5,yes,up,2.14,4.84,1.05,0,0,0,2.67666666667,0
EVM0008450,,-,0.165709047443,-2.59327572138,0.000157437880311,0.00215421994738,yes,down,1.17,1.48,1.06,1.75,8.4,10,1.23666666667,6.71666666667
EVM0008453,,-,4.60159261559,2.20213326572,2.15977335937E-5,0.000433895859941,yes,up,60.56,78.14,87.35,19.3,6.68,20.06,75.35,15.3466666667
EVM0008480,,-,2.48463712497,1.31303516518,0.00753449185885,0.0427692984627,yes,up,43,88.48,58.1,27.82,26.97,17.8,63.1933333333,24.1966666667
EVM0008491,,-,0.367223928557,-1.4452680261,0.00018882109809,0.00248824423205,yes,down,13.12,6.62,6.71,21.6,17.75,23.59,8.81666666667,20.98
EVM0008504,,-,0.359244005179,-1.47696401272,0.00022769075456,0.00289295395945,yes,down,32.49,25.81,25.48,90.27,75.75,45.26,27.9266666667,70.4266666667
EVM0008507,,-,0.202718085353,-2.30245329131,8.00304906693E-5,0.00124830552762,yes,down,40.91,50.37,53.08,284.17,316,65.89,48.12,222.02
EVM0008511,,-,5.50209650196,2.45998144349,0.00263230777122,0.0195921132085,yes,up,3.02,0.99,1.25,0.23,0.36,0.23,1.75333333333,0.273333333333
EVM0008526,,-,0.277674365426,-1.84853409951,0.00926354470525,0.0492991907705,yes,down,0.59,0.86,0.93,2.28,1.67,4.03,0.793333333333,2.66
EVM0008541,,-,0.229348021104,-2.1243896355,7.55563395558E-5,0.00119694078049,yes,down,0.91,0.78,0.45,2.47,3.51,2.25,0.713333333333,2.74333333333
EVM0008548,,-,0.00215974892161,-8.85492068088,1.88641953051E-5,0.00038762949746,yes,down,0,0,2.21,242.55,736.3,110.44,0.736666666667,363.096666667
EVM0008551,,-,4.52393850246,2.17757931774,0.000748029104405,0.00737971570228,yes,up,15.5,9.77,4.66,0.9,1.29,3.48,9.97666666667,1.89
EVM0008564,,-,0.0417248787171,-4.5829483337,1.64590151056E-6,5.08496940368E-5,yes,down,0.17,0.28,0,4.73,3.84,1.03,0.15,3.2
EVM0008566,,-,3.25246226515,1.70153231899,0.000613333344174,0.00627953499471,yes,up,43.64,44.79,34.62,9.31,6.15,18.63,41.0166666667,11.3633333333
EVM0008570,,-,4.82625813063,2.27090507963,0.000515255627538,0.00549252518217,yes,up,19.38,6.6,11.64,4.33,1.85,0.74,12.54,2.30666666667
EVM0008579,,-,0.43199805073,-1.21090329224,0.00394071701864,0.0266370030239,yes,down,48.61,48.88,66.57,107.2,147.36,96.91,54.6866666667,117.156666667
EVM0008600,,-,0.393345679479,-1.3461303578,0.00187484181722,0.0150601911113,yes,down,11.95,11.86,8.42,16.44,30.1,26.85,10.7433333333,24.4633333333
EVM0008612,,-,4.35740145621,2.12346803779,1.53679671099E-7,6.66576110358E-6,yes,up,395.59,519.51,527.5,91.31,97.01,121.09,480.866666667,103.136666667
EVM0008619,,-,0.349734871248,-1.51566644392,0.00235912758442,0.0179923069561,yes,down,37.38,26.82,21.1,107.41,79.09,31.14,28.4333333333,72.5466666667
EVM0008624,,-,41.78440437,5.38489266551,0.00142432813027,0.0121759312495,yes,up,290.8,416.1,187.2,17.93,2.61,0,298.033333333,6.84666666667
EVM0008629,,-,6.82004368861,2.76978098106,9.70144884353E-13,1.85698384929E-10,yes,up,457.69,306.3,368.31,64.67,52.79,34.85,377.433333333,50.77
EVM0008651,,-,0.254565966219,-1.97388854151,0.00578286377764,0.0352009094795,yes,down,0.44,0.88,0.49,1.53,2.32,2.7,0.603333333333,2.18333333333
EVM0008655,,-,0.162393665961,-2.62243273247,1.41772118695E-5,0.000309752730795,yes,down,5.99,2.94,4.69,41.91,26.09,7.72,4.54,25.24
EVM0008663,,-,0.154809502052,-2.69143406951,9.26660650172E-6,0.00021933459744,yes,down,15.76,11.65,6.86,105.66,73.01,17.31,11.4233333333,65.3266666667
EVM0008669,,-,0.172534472865,-2.53504344974,0.000353945481487,0.00408512186744,yes,down,9.48,4.5,4.11,13.42,9.2,67.72,6.03,30.1133333333
EVM0008682,,-,2.25490560157,1.17306703836,0.000985192966447,0.0091611570583,yes,up,263.84,265.11,224.92,127.8,92.35,87.12,251.29,102.423333333
EVM0008703,,-,0.366439206367,-1.44835422517,0.000343654160789,0.00399455430461,yes,down,9.12,8.42,6.59,24.91,17.63,17.36,8.04333333333,19.9666666667
EVM0008707,,-,0.438757601375,-1.18850397489,0.00730833231535,0.0417991984649,yes,down,17.79,21.59,19.23,46.44,51.54,24.97,19.5366666667,40.9833333333
EVM0008721,,-,0.0492391015458,-4.34405175223,7.33488782504E-10,6.27026090286E-8,yes,down,530.43,340.27,613.46,16188.85,10609.96,1313.35,494.72,9370.72
EVM0008730,,-,0.155864327895,-2.68163731347,0.000212813560699,0.00274351889013,yes,down,1.27,0.39,0.62,5.2,5.61,1.91,0.76,4.24
EVM0008740,,-,7.50490812691,2.90783441087,2.55034526865E-9,1.91929829833E-7,yes,up,2056.93,2951.95,2482.08,519.38,177,262.57,2496.98666667,319.65
EVM0008758,,-,2.2248793946,1.15372713315,0.00885094793664,0.0478313790562,yes,up,75.42,110.66,93.75,34.82,30.69,51.73,93.2766666667,39.08
EVM0008759,,-,5.17700165601,2.37211677969,0.000859510312776,0.00822050489768,yes,up,34.83,14.64,23.5,8.46,0.66,3.57,24.3233333333,4.23
EVM0008762,,-,0.222734940388,-2.16660020371,0.00276993288114,0.0203753208174,yes,down,6.07,3.42,4.66,3.33,14.94,37.51,4.71666666667,18.5933333333
EVM0008771,,-,0.0899913483371,-3.47406988068,2.45084155009E-8,1.41287912319E-6,yes,down,0.6,0.92,0.69,4.5,9.48,8.61,0.736666666667,7.53
EVM0008792,,-,0.0179100527005,-5.8030866073,3.8924937384E-8,2.07090074723E-6,yes,down,0.62,0.47,0.15,5.59,5.01,49.89,0.413333333333,20.1633333333
EVM0008794,,-,0.385188980941,-1.37636166214,0.0013451577042,0.0116633319404,yes,down,69.06,69.54,70.88,235.17,168.44,101.23,69.8266666667,168.28
EVM0008822,,-,0.22183449328,-2.17244438577,0.000655629702627,0.00663924040441,yes,down,1.07,0.77,0.89,2.51,5.64,2.91,0.91,3.68666666667
